blockNumber,timestamp, inputAmount,inputInUSD,outputAmount,outputInUSD,slippage,slippageIsAcceptable
12789817,1625692045,100000000000000000000000000,101796518705948507700000000,386707269551864091317340,98400473022684980370297007,0.03451249347633323,false
12789861,1625692089,100000000000000000000000000,101796518705948507700000000,386632336782490633424769,98388974389892646853336988,0.034633396040419706,false
12789905,1625692133,100000000000000000000000000,101796518705948507700000000,386557783398192509092547,98377545712873899904577687,0.03475359105880993,false
12789949,1625692177,100000000000000000000000000,101796518705948507700000000,386483608958712058529646,98366186916719952506002834,0.034873078816532566,false
12789993,1625692221,100000000000000000000000000,101796518705948507700000000,386409813026532787072494,98354897927023591844124884,0.03499185959684992,false
12790037,1625692265,100000000000000000000000000,101796518705948507700000000,386336395166872164603207,98343678669877921296573158,0.035109933681260364,false
12790081,1625692309,100000000000000000000000000,101796518705948507700000000,386263354947674477320150,98332529071875112047114787,0.03522730134949992,false
12790125,1625692353,100000000000000000000000000,101796518705948507700000000,386190691939603731631693,98321449060105164019885270,0.035343962879544,false
12790169,1625692397,100000000000000000000000000,101796518705948507700000000,386118405716036609945941,98310438562154676618255673,0.0354599185476101,false
12790213,1625692441,100000000000000000000000000,101796518705948507700000000,386046495853055478131132,98299497506105628427339112,0.035575168628157794,false
12790257,1625692485,100000000000000000000000000,101796518705948507700000000,385974961929441444423286,98288625820534166516871576,0.03568971339389182,false
12790301,1625692529,100000000000000000000000000,101796518705948507700000000,385903803526667469559576,98277823434509405171731938,0.035803553115763664,false
12790345,1625692573,100000000000000000000000000,101796518705948507700000000,385833020228891527917781,98267090277592233492079181,0.03591668806297288,false
12790389,1625692617,100000000000000000000000000,101796518705948507700000000,385762611622949819444018,98256426279834132711156105,0.03602911850296886,false
12790433,1625692661,100000000000000000000000000,101796518705948507700000000,385692577298350032152821,98245831371776002427175556,0.03614084470145307,false
12790477,1625692705,100000000000000000000000000,101796518705948507700000000,385622916847264654985462,98235305484446996033942118,0.036251866922379916,false
12790521,1625692749,100000000000000000000000000,101796518705948507700000000,385553629864524340814258,98224848549363365292188600,0.03636218542795899,false
